question_id;question;answer;category;type;points
202;Der Investiturstreit des 11. Jahrhunderts war ein Konflikt zwischen dem deutschen Kaiser und dem ...?;Papst (Gregor VII.), Heilgen Stuhl, Vatikan, Oberhaupt der katholischen Kirche;Geschichte;Frage;300
203;Welche Australierin gewann 2022 bei den Australian Open das Tennis-Finale der Damen?;Ashleigh Barty;Sport;Frage;200
204;Wie heißt der einzige US-Bundesstaat, der nicht auf dem nordamerikanischen Festland liegt?;Hawaii;Geographie;Frage;100
205;"Das Ölgemälde ""Porträt von Jacqueline"" stellt die zweite Ehefrau welches weltberühmten Malers dar?";Pablo Picasso;Kunst;Frage;200
206;Was für ein Fortbewegungsmittel ist auf dem Stadtwappen von Paris zu sehen?;Schiff, Segelschiff;Kultur;Frage;200
207;Mit Vor- und Nachteilen ist etwas redensartlich zugleich Fluch und ...?;Segen;Wörter;Frage;200
208;Die wichtigsten Werkzeuge zum Frisieren sind Schere und welches Instrument mit Zinken?;Kamm;Allgemeinwissen;Frage;100
209;"Welche Rolle spielt Sean Connery im Film ""Goldfinger""?";James Bond, Geheimagent;Filme;Frage;200
210;Die zum Weltkulturerbe zählende Villa Tugendhat entwarf Ludwig Mies ...?;van der Rohe;Kultur;Frage;300
211;Eines der berühmtesten Paare der Bibel bilden Eva und ...?;Adam;Kultur;Frage;100
212;"Welche Ilka erfand die Kunstfigur ""Cindy aus Marzahn""?";Bessin;Personen;Frage;200
213;Ihren Ehemann bezeichnen einige Frauen scherzhaft als ihren Götter-...?;Gatten;Wörter;Frage;200
214;Welchem Königshaus entstammte Königin Elisabeth I.?;Tudor;Kultur;Frage;200
215;Das höchste Gebäude der USA steht in welcher Stadt?;New York City;Geographie;Frage;200
216;"Mit ""You can dance, you can jive"" beginnt welcher ABBA-Song?";Dancing Queen;Musik;Frage;100
217;Von welchem Fisch stammt der luxuriöse Beluga-Kaviar?;Stör, Beluga-Stör, Europäischer Hausen;Tiere;Frage;200
218;Ein Lulatsch ist oft schlaksig und immer ganz besonders ...?;groß, lang;Wörter;Frage;200
219;"Der Ausdruck ""la dolce vita"" geht zurück auf einen Film des Regisseurs Federico ...?";Fellini;Personen;Frage;300
220;In Gestalt welches Tieres entführt in der griechischen Mythologie Zeus die Prinzessin Europa?;Stier;Mythologie;Frage;300
221;Wie heißt der höchste Berg des gesamten amerikanischen Kontinents?;Aconcagua, Cerro Aconcagua;Geographie;Frage;200
222;Welche Farbe haben pflückreife Wald-Himbeeren?;Rot;Landwirtschaft;Frage;100
223;Wie nennt man schlechtes Latein und auch den Fachjargon der Gastronomie?;Küchenlatein;Sprachen;Frage;200
224;"""Was im Verborgenen ruht"" heißt ein 2022 erschienener Inspector-Lynley-Krimi der Bestseller-Autorin Elizabeth ...?";George, Elizabeth George;Autoren;Frage;300
225;Wer eine schwache Leistung abliefert, der hat sich redensartlich nicht mit Ruhm ...?;bekleckert;Wörter;Frage;200
226;Welche elastischen Hohlkörper sind dank Helium auf Feierlichkeiten farbige Hingucker?;Ballons, Luftballons;Wörter;Frage;100
227;"Welche Rolle spielt Harrison Ford in den ""Star Wars""-Filmen?";Han Solo, Raumschiffkapitän;Filme;Frage;200
228;Als bedeutendster Baumeister des deutschen Klassizismus gilt Karl Friedrich ...?;Schinkel;Personen;Frage;400
229;"Welcher Messias wird auch ""der Nazarener"" genannt?";Jesus (Christus);Kultur;Frage;100
230;"Welche Sylvie moderiert seit 2021 die Datingshow ""Love Island""?";Meis;Personen;Frage;100
231;"Statt ""zuletzt, aber nicht am unwichtigsten"" sagt man meist knapp: ""last but not ...""?";least;Wörter;Frage;100
232;In welcher TV-Show stellten fünf Schweizer einen fast neun Tonnen schweren Lkw auf vier Biergläser?;Wetten, dass..?;Deutschland;Frage;300
233;Welche Wache ist ein anderes Wort für das Spritzenhaus?;Feuerwache;Kultur;Frage;200
234;Englands Rekord für die meisten Einsätze als Feldspieler hält mit 120 Fußballländerspielen Wayne ...?;Rooney;Sport;Frage;400
235;"Ein Sportfilmklassiker mit Al Pacino heißt ""An jedem verdammten ...""?";Sonntag;Filme;Frage;400
236;Welcher Wal versteckt sich im Namen Mallorca?;Orca;Wörter;Frage;100
237;Der Hollywood-Regisseur Paul Verhoeven wurde in welchem Land geboren?;Niederlande, Holland;Personen;Frage;200
238;"Wie heißt der Vogelfänger, der in Mozarts ""Zauberflöte"" für gewöhnlich ein Federkostüm trägt?";Papageno;Kultur;Frage;300
239;Wer ist in der altnordischen Mythologie Königin der Götter und Menschen?;Frigg, Freyja;Mythologie;Frage;400
240;In welchem Land Großbritanniens liegt der viel besungene See Loch Lomond?;Schottland;Kultur;Frage;100
241;Welche Leitungen können von Legionellen betroffen sein?;Wasserleitungen;Allgemeinwissen;Frage;300
242;2022 wurde welches Fußballteam der Männer Meister der italienischen Serie A?;AC Mailand;Sport;Frage;400
243;Welche musikalische Familie lebte in den 90er-Jahren auf einem Hausboot in Köln?;Kelly Family;Musik;Frage;300
244;"Stellt man dem Wort ""Ruder"" ein ""B"" voran, wird daraus welcher Familienangehörige?";Bruder;Wörter;Schnellfrage;100
245;Wie wird ein durch ungeschlechtliche Vermehrung entstandenes, erbgleiches Tier genannt?;Klon;Biologie;Frage;200
246;Marcelo Rebelo de Sousa wurde 2016 zum Staatspräsidenten welches Landes gewählt?;Portugal;Politik;Frage;300
247;Welches Gebiet am Rhein gehörte ab 1816 zum Königreich Bayern?;Pfalz, Rheinpfalz;Geschichte;Frage;200
248;Was für ein Transportmittel ist der legendäre Orient-Express?;Zug, Luxuszug, Eisenbahn;Allgemeinwissen;Frage;100
249;Welcher französische General beschrieb England als eine Nation von kleinen Ladenbesitzern?;Napoleon;Geschichte;Frage;200
250;Der Formel-1-Fahrer Max Verstappen fährt unter der Flagge welches Landes?;Niederlande, Holland;Sport;Frage;200
251;"Das Gemälde ""The Blue Boy"" - ""Der Blaue Junge"" schuf Thomas ...?";Gainsborough;Kunst;Frage;400
252;"Das Album ""Stadtaffe"" stammt von Peter ...?";Fox;Musik;Schnellfrage;100
253;Welches giftige Schwermetall darf an deutschen Tankstellen seit 1996 nicht mehr im Benzin enthalten sein?;Blei;Naturwissenschaften;Frage;200
254;"Wie wird die Fernsehsendung ""Ich bin ein Star  Holt mich hier raus!"" meist kurz genannt?";Dschungelcamp, IBES;Deutschland;Frage;200
255;Welche Wache bezeichnet eine Truppe, die mit dem Schutz einer Person beauftragt ist?;Leibwache;Personen;Frage;100
256;Ihren Rücktritt verkündete im Sommer 2022 der Tennis-Spielerin Serena ...?;Williams;Sport;Frage;200
257;"Ingmar Bergman drehte den Filmklassiker ""Das siebente ...""?";Siegel;Filme;Frage;300
258;"Welches kleine Wesen steckt im Wort ""Gewicht""?";Wicht;Wörter;Frage;100
259;Der 2021 verstorbene Filmregisseur Bertrand Tavernier stammte aus welchem Land?;Frankreich;Personen;Frage;400
260;In welcher Verdi-Oper liebt ein ägyptischer Heerführer die Prinzessin der verfeindeten Äthiopier?;Aida;Kultur;Frage;500
261;Welcher vielköpfige Schlangendrache bewacht den Baum der Hesperiden?;Ladon;Mythologie;Frage;300
262;Der Rio Xingú ist einer der großen rechten Nebenflüsse des Amazonas im Tiefland welches Landes?;Brasilien;Geographie;Frage;200
263;Welcher Teil einer Kamera heißt wie eine Hülsenfrucht?;Linse;Technik;Frage;200
264;Erik ten Hag löste im Frühjahr 2022 Ralf Rangnick als Trainer welches britischen Fußballclubs ab?;Manchester United;Sport;Frage;200
265;Welcher Schlagersänger war jahrelang für seine zahlreichen Freundschaftsbändchen bekannt?;Wolfgang Petry, Wolle Petry;Musik;Frage;200
266;"Welchen Buchstaben muss man vor das Wort ""Espe"" setzen, damit aus dem Baum ein Insekt wird?";W;Straßenverkehr;Schnellfrage;100
267;Neben den Archaeen sind welche winzigen Lebewesen schon am längsten auf der Welt?;Bakterien, Bazillen;Tiere;Frage;200
268;Gina Marie Raimondo ist seit 2021 Handelsministerin welches Staates?;USA, Vereinigte Staaten von Amerika;Politik;Frage;200
269;Auf dem Gebiet welcher niederrheinischen Stadt lag die römische Metropole Colonia Ulpia Traiana?;Xanten;Geschichte;Frage;300
270;Welche Art Bahnhof trägt einen oberen Körperteil im Namen?;Kopfbahnhof;Wörter;Frage;100
271;Wie nennt man das Hin-und-Her-Bewegen der Hand zur Verabschiedung?;Winken;Allgemeinwissen;Schnellfrage;100
272;Was verkauft Timm Thaler in der gleichnamigen Abenteuerserie dem Baron de Lefouet?;Lachen, Sein Lachen;Bücher;Frage;300
273;Der Fruchtkuchen Panettone ist eine Spezialität aus welchem Land?;Italien, Herzogtum Mailand;Kultur;Frage;200
274;In welchem Shakespeare-Drama wird der Duke of Gloucester zum König gekrönt?;Richard III., Die Tragödie von König Richard III.;Bücher;Frage;300
275;Welche Form haben die Seitenflächen einer Pyramide?;(gleichschenkliges) Dreieck;Naturwissenschaften;Frage;100
276;Wie heißen die Schauspieler Tukur und Noethen mit Vornamen?;Ulrich;Personen;Frage;400
277;"Wer sagte: ""I did not have sexual relations with that woman, Miss Lewinsky""?";Bill Clinton;Politik;Frage;300
278;Der 1.070 Meter hoch gelegene Khyber-Pass ist der wichtigste Bergpass zwischen Pakistan und welchem Land?;Afghanistan;Geographie;Frage;300
279;Wem Ärger droht, obgleich er sich sicher fühlt, dem wird redensartlich schon noch was vergehen?;(Das) Lachen;Wörter;Frage;200
280;"Welcher trinkfreudige Jack verliert immer wieder sein Schiff, die ""Black Pearl""?";Jack Sparrow;Filme;Frage;100
281;"""It's All Over Now"" war 1964 in England der erste Nummer-1-Hit welcher Rockgruppe?";The Rolling Stones;Musik;Frage;200
282;Welcher Rad schlagende Vogel wurde im antiken Griechenland als heiliges Tier der Göttin Hera verehrt?;Pfau;Tiere;Frage;100
283;Eines der 12 Sternzeichen ist der Stein-...?;Bock;Allgemeinwissen;Frage;100
284;"Vertauscht man die Buchstaben des Wortes ""Prost"", so erhält man welches Unterrichtsfach?";Sport;Wörter;Frage;100
285;"Welches Filmgenre parodiert der Film ""Der Schuh des Manitu""?";Western;Filme;Frage;200
286;Der einzige deutsche Olympiasieger im Marathon heißt Waldemar ...?;Cierpinski;Sport;Frage;500
287;Wie nennt man einen in Tücher eingewickelten Leichnam in einem ägyptischen Sarkophag?;Mumie;Kultur;Frage;200
288;Nach Deutschland ist welches Land der EU das bevölkerungsreichste?;Frankreich;Geographie;Frage;100
289;Welches Werkzeug ist ein anderes Wort für das Elchgeweih?;Schaufel;Wörter;Frage;300
290;Wie nennt man die wiederholte Ab- und Aufwärtsbewegung des Kopfes zum Einverständnis?;Nicken, Kopfnicken;Wörter;Frage;100
291;"In der Fernsehserie ""Unser Charly"" gehört die Titelfigur zu welcher Affenart?";Schimpansen, Schimpanse;Filme;Frage;200
292;Der Einspänner ist eine Kaffeespezialität aus welchem Land?;Österreich;Allgemeinwissen;Frage;200
293;"Welches Drama von Shakespeare trägt den Zusatztitel ""Prinz von Tyrus""?";Perikles;Bücher;Frage;400
294;Welche Form hat in der Geometrie die Grundfläche eines Kegels?;Kreis, Rund,;Naturwissenschaften;Frage;100
295;Wie heißt die RTL-Moderatorin Ludowig mit Vornamen?;Frauke;Personen;Frage;200
296;Wie heißt die Monarchin mit der längsten Regierungszeit der britischen Geschichte?;Elisabeth II., Queen Elizabeth II;Kultur;Frage;100
297;"Welches Land wird auch die ""Schweiz Zentralasiens"" genannt, weil fast seine gesamte Fläche im Hochgebirge liegt?";Kirgistan, Kirgisien, Kirgisistan;Geographie;Frage;300
298;Was einen nervt, geht einem redensartlich auf welches Kaffeegebäck?;Keks;Wörter;Frage;100
299;Welcher Batman-Bösewicht heißt mit bürgerlichem Namen Arthur Fleck?;(Der) Joker;Filme;Frage;200
300;"""Definitely Maybe"" heißt das Debütalbum welcher weltberühmten Britpop-Band?";Oasis;Musik;Frage;400
301;Welches bunte Himmelsereignis ist laut Bibel ein Zeichen des Bundes Gottes mit den Menschen nach der Sintflut?;Regenbogen;Kultur;Frage;200
302;Eines der 12 Sternzeichen ist Wasser-...?;Mann;Kultur;Frage;100
303;"Stellt man die Buchstaben des Wortes ""bereichern"" um, so erhält man welchen Dieb?";Einbrecher;Wörter;Frage;300
304;Wie nennt man Filme, die aus einer Folge aufgenommener Zeichnungen bestehen?;Zeichentrick, Zeichentrickfilm, Animation, Anime, Cartoon-Film;Filme;Frage;200
305;Welcher Peter wurde als Fußballtorhüter dank 125 Einsätzen Englands Rekordnationalspieler?;Peter Shilton, Peter Leslie Shilton;Sport;Frage;300
306;Den britischen Parlamentarismus begründete im 17. Jahrhundert die Bill of ...?;Rights;Geschichte;Frage;100
307;"Wie heißt in der Zeichentrickserie ""Die Simpsons"" der Vater von Bart, Lisa und Maggie?";Homer, Homer Jay Simpson;Filme;Schnellfrage;100
308;Welche Kurzhaarfrisur ist nach einem Waldgewächs benannt?;Pilzkopf;Kultur;Frage;200
309;"""Derjenige"" und ""derselbe"" sind was für Pronomen?";Demonstrativpronomen;Wörter;Frage;300
310;In welchem asiatischen Land liegt die Stadt Yangon?;Myanmar;Geographie;Frage;400
311;"Phantom heißt eine Verbrecherorganisation im James-Bond-Film ""Liebesgrüße aus ...""?";Moskau;Filme;Frage;300
312;"Von welcher Jahreszeit handelt die millionenfach verkaufte Single ""White Christmas""?";Winter;Kultur;Frage;100
313;"Kerstin Gier schrieb den Bestseller ""Vergissmeinnicht. Was man bei Licht nicht ...""?";sehen kann;Bücher;Frage;200
314;Welche Armee der Augsburger Puppenkiste trägt Rüstungen aus Konservendosen?;Blechbüchsenarmee;Kultur;Frage;100
315;Wer hart durchgreift, kehrt laut Redensart mit eisernem ...?;Besen;Wörter;Frage;200
316;An welchem großen See liegt Schwerin?;Schweriner See;Geographie;Frage;100
317;"Welcher Monat lässt sich durch Buchstabenvertauschen aus dem Wort ""saugut"" bilden?";August;Wörter;Frage;200
318;Der katholische Wallfahrtsort Fátima liegt in welchem südeuropäischen Land?;Portugal;Geographie;Frage;100
319;"Im Namen welches Wintermonats steckt der Name ""Jan""?";Januar;Wörter;Frage;100
320;Welche Organe halten Motorradfahrer durch einen Extra-Gurt warm?;Nieren;Biologie;Frage;200
321;Wie heißt der 1980 mit Brooke Shields verfilmte Roman von Henry De Vere Stacpoole?;Die blaue Lagune;Filme;Frage;300
322;"Welcher Wolfgang singt: ""Mmhh, Gianna, ist das Auto auch sehr klein, ich kenn' da einen Trick""?";Wolfgang Petry;Musik;Frage;200
323;Loriot war ein großer Fan von welcher Hunderasse?;Mops, Möpse;Personen;Frage;500
324;In welchem amerikanischen Land liegt die Urlaubsregion Cancún?;Mexiko;Geographie;Frage;100
325;Wer wurde beim Deutschen Filmpreis 2022 als beste Hauptdarstellerin geehrt?;Meltem Kaptan;Personen;Frage;300
326;Von seinem Amt als Bundeskanzler trat im Oktober 2021 welcher Österreicher zurück?;Sebastian Kurz;Politik;Frage;200
327;"Wie heißt in der Zeichentrickserie ""Die Simpsons"" die Mutter von Bart, Lisa und Maggie?";"Marge, Marjorie Jacqueline ""Marge"" Simpson";Filme;Frage;100
328;Welche Kurzhaarfrisur ist nach einem Adeligen in der Ritterausbildung benannt?;Pagenkopf, Pagenfrisur;Allgemeinwissen;Frage;400
329;"""Mir"", ""dir"", ""euch"" und ""sich"" sind was für Pronomen?";Reflexivpronomen;Wörter;Frage;200
330;Wie heißt die Hauptstadt der Malediven?;Malé;Geographie;Frage;200
331;"Seinen Durchbruch als Filmschauspieler hatte Heinz Rühmann mit dem Film ""Die Drei von der ...""?";Tankstelle;Personen;Frage;400
332;Was sollte es für Hildegard Knef laut ihrem größten Hit regnen?;Rote Rosen;Musik;Frage;100
333;Wer etwas geheim hält, kehrt es redensartlich unter welches Möbelstück mit Beinen?;Tisch;Wörter;Schnellfrage;100
334;An welchem großen See liegt Konstanz?;Bodensee, Obersee;Deutschland;Frage;100
335;"Welcher Monat lässt sich durch Buchstabenvertauschen aus dem Wort ""Urfarbe"" bilden?";Februar;Wörter;Frage;300
336;Der Guaraní-Wallfahrtsort Caacupé liegt in welchem südamerikanischen Land?;Paraguay;Geographie;Frage;500
337;"Im Namen welches Monats steckt das Wörtchen ""Uni""?";Juni;Wörter;Schnellfrage;100
338;"Welches landwirtschaftliche Gefährt nennt man in Süddeutschland auch ""Bulldog""?";Traktor, Schlepper;Landwirtschaft;Frage;200
339;Was für ein Tier ist die blaue Computerspielfigur Sonic?;Igel;Spiele;Schnellfrage;100
340;Für welche Fähigkeiten stehen die Fragmente des Triforce aus Zelda?;Weisheit, Mut und Kraft;Spiele;Frage;400
341;Wie hoch war das Preisgeld beim Tennisturnier in Wimbledon 2023 insgessamt?;52,3 Millionen Euro;Sport;Schätzfrage;400
342;Welches Land liegt westlich der Dominikanischen Republik auf der Insel Hispaniola?;Haiti;Geographie;Frage;400
343;Wer gewann bei den US-Präsidentschaftswahlen 2020 die meisten Wählerstimmen?;Joe Biden;Politik;Frage;200
344;Wie nennt man die kleinen runden Geräte, die autonom im Garten das Grün stutzen?;Mähroboter, Rasenmähroboter, Rasenroboter;Technik;Frage;100
345;"Welche bekannten Blumen reimen sich auf ""welken""?";Nelken;Biologie;Schnellfrage;100
346;Was gilt in der Astrologie als Planet der Liebe und Harmonie?;Venus;Naturwissenschaften;Frage;200
347;"Welche Gemüsepflanze wird im Englischen auch ""sweet pepper"" oder ""süßer Pfeffer"" genannt?";Paprika;Biologie;Frage;300
348;Was für ein Insekt ist das Maskottchen von Borussia Dortmund?;Biene, Biene Emma;Sport;Frage;300
349;Zu welcher Sportart gehören die Ausdrücke 2-Minuten-Strafe, Penalty-Schießen und Puck?;Eishockey;Sport;Frage;200
350;Welcher Gebirgszug ist rund 2.000 Kilometer länger als die Rocky Mountains?;Anden;Geographie;Frage;300
351;Wer verriet Jesus an die Römer?;Judas, Judas Iskariot;Kultur;Frage;200
352;Nitrate sind die Salze und Ester welcher Säure?;Salpetersäure;Naturwissenschaften;Frage;400
353;"Wie beginnt das Sprichwort, das mit ""leben länger"" aufhört?";Totgesagte;Wörter;Frage;300
354;Welcher Kanal heißt in der Seefahrt Englischer Kanal?;Ärmelkanal;Geographie;Frage;400
355;Wie heißt der 2023 von Sebastian Fitzek veröffentlichte Nicht Thriller?;Elternabend;Bücher;Frage;400
356;"Die ""blaue Blume"" ist das Symbol welcher Literaturepoche?";Romantik, Frühromantik;Kultur;Frage;300
357;Die Knesset ist das Parlament welches Staates?;Israel;Politik;Frage;500
358;"Welche Farbe kann man sinnvoll an die Wörter ""Oliv"" und ""Suppen"" anhängen?";Grün;Wörter;Schnellfrage;100
359;Zu welcher Gruppe gehörte die SÄngerin Camilla Cabello?;Fifth Harmony;Musik;Frage;400
360;Was bei der Kuh das Euter, das ist bei der Sau das ...?;Gesäuge;Wörter;Frage;200
361;"Welcher Matt spielt eine Hauptrolle im 2021 ins Kino gekommene Thrillerdrama ""Stillwater - Gegen jeden Verdacht""?";Damon;Hollywood;Frage;100
362;Wie nennt man einen männlichen Einwohner Zyperns?;Zyprer, Zypriot, Zypriote;Geographie;Frage;100
363;"""Abends will ich schlafen gehen"" heißt ein Duett aus welcher Oper für Kinder?";Hänsel und Gretel;Kultur;Frage;200
364;Die Certosa di San Martino ist ein berühmter Klosterkomplex in welcher süditalienschen Stadt?;Neapel;Geographie;Frage;500
365;"Welche von Verliebten verschenkten Blumen reimen sich auf ""Hosen""?";Rosen;Wörter;Schnellfrage;100
366;Was für ein Tier ist das Maskottchen des MSV Duisburg?;Zebra;Sport;Frage;400
367;In welcher Sportart gibt es die Disziplinen Abfahrt, Super-G und Riesenslalom?;Ski (Alpin), Skirennen, Skifahren;Sport;Frage;200
368;"""Holding Back The Years"" war der erste Top-Ten-Hit von Simply ...?";Red;Musik;Frage;400
369;Welches Gebirge Europas besitzt die größte Nord-Süd-Ausdehnung?;Ural;Geographie;Frage;300
370;Welches edle Stück Rindfleisch wird in Österreich auch als Lungenbraten bezeichnet?;Filet, Tenderloin;Kultur;Frage;400
371;Was für ein Fortbewegungsmittel war Noahs Arche?;Schiff, Boot, (schwimmfähiger) Kasten;Kultur;Schnellfrage;100
372;Wie nennt man jemanden, der mit der linken und rechten Hand gleich geschickt ist?;Beidhänder, beidhändig, ambidexter;Allgemeinwissen;Frage;100
373;"Welcher Wilhelm schrieb im 19. Jahrhundert ""Die Geschichte von dem Gespensterschiff""?";Hauff;Bücher;Frage;500
374;Was entsteht bei einer Nukleosynthese?;Atomkern, (chemisches) Element;Naturwissenschaften;Frage;400
375;"Welcher Ed veröffentlichte im Herbst 2021 die Single ""Shivers""?";Sheeran;Musik;Schnellfrage;100
376;Laut Sprichwort rostet welche Liebe nicht?;Alte (Liebe);Wörter;Frage;200
377;Welcher Kanal verbindet Atlantik und Pazifik?;Panamakanal;Geographie;Frage;300
378;Was für Füße sind Anapäst und Daktylus?;Versfüße;Wörter;Frage;300
379;In welcher Stadt tagt das tschechische Parlament?;Prag;Politik;Frage;100
380;"Welche Farbe kann man sinnvoll an die Wörter ""Honig"" und ""Dotter"" anhängen?";Gelb;Wörter;Frage;100
381;Wie lautet der weidmännische Ausdruck für die Füchsin?;Fähe, Fähin, Föhe, Betze;Tiere;Frage;300
382;Als Ministerpräsident von Spanien bestätigt wurde im Jahr 2020 Pedro ...?;Sánchez;Politik;Frage;300
383;Welche Senta wurde 2021 bei der Verleihung des Deutschen Filmpreises mit der Ehren-Lola ausgezeichnet?;Senta Berger;Personen;Frage;500
384;Wie nennt man einen männlichen Einwohner der Philippinen?;Philippiner, Filipino;Geographie;Frage;100
385;Durch was für Insekten wird Malaria übertragen?;Moskitos, Mücken, Anopholes-Mücken;Biologie;Frage;200
386;Ludwig Mies van der Rohe war ab 1930 Direktor welcher Kunstschule?;Bauhaus;Deutschland;Frage;300
387;"""Bravehearts"" lautet der Spitzname der Fußballnationalmannschaft welches Landes?";Schottland;Sport;Frage;300
388;An der Decke welches Gebäudes im Vatikan befinden sich neun Szenen aus dem Buch Genesis?;Sixtinische Kapelle;Kultur;Frage;400
389;"Welche Zeichentrickfigur hielt sich 2021 mit dem Album ""Schwammtastisch"" wochenlang in den deutschen Charts?";SpongeBob, SpongeBob Schwammkopf;Musik;Frage;100
390;Der EGMR in Straßburg ist der Europäische Gerichtshof für ...?;Menschenrechte;Politik;Frage;300
391;Welche Stadt liegt Mannheim direkt gegenüber?;Ludwigshafen (am Rhein);Geographie;Frage;200
392;Tsai Ing-wen ist seit Mai 2016 Präsidentin welches asiatischen Landes?;Taiwan, Republik China;Politik;Frage;500
393;Welcher Dinosaurier war dem Namen nach ein Tyrann?;Tyrannosaurus (Rex);Geschichte;Frage;100
394;Das Model Lily-Rose Depp ist die Tochter von Johnny Depp und Vanessa ...?;Paradis;Personen;Frage;400
395;In welcher italienischen Stadt kann man in der Basilika Santa Croce die Fresken Giottos bewundern?;Florenz;Kultur;Frage;300
396;Wie heißt in der griechischen Mythologie die Tochter von Königin Kassiopeia?;Andromeda;Mythologie;Frage;300
397;"Was ärgert Filmfans und reimt sich auf ""Broiler""?";Spoiler;Wörter;Frage;200
398;"Welcher Pop- und R'n'B-Superstar veröffentlichte 2022 sein Album ""Dawn FM""?";The Weeknd;Musik;Frage;200
399;Als wichtigster Vertreter des Realismus in Deutschland gilt welcher Brandenburger Dichter?;Theodor Fontane;Personen;Frage;400
400;Welche Partei gewann bei der Bundestagswahl 2021 prozentual die meisten Stimmen hinzu?;Bündnis 90/Die Grünen;Politik;Frage;300
401;In Anlehnung an eine Nudelsorte werden Italo-Western auch wie genannt?;Spaghetti-Western;Kultur;Frage;200
402;Wer trat 1983 als Kanzlerkandidat gegen Helmut Kohl an?;Hans-Jochen Vogel;Geschichte;Frage;400
403;Welches Land ist Hauptexporteur der Merino-Wolle?;Australien;Geographie;Frage;500
404;Wie heißt die Nationalblume der Niederländer?;Tulpe;Kultur;Frage;200
405;"Welcher Leichtathletikwettbewerb wird international ""Decathlon"" genannt?";Zehnkampf;Sport;Frage;200
406;Welcher Bau in Jerusalem hat eine weithin sichtbare, leuchtend goldene Kuppel?;Felsendom;Geographie;Frage;400
